ISO6393	Status	Pop.Size	simp.status
sjg	"Vulnerable (20 percent certain, based on the evidence available)"	"23,500"	vulnerable
asb	"Endangered (20 percent certain, based on the evidence available)"	<150	endangered
ast	"At risk (20 percent certain, based on the evidence available)"	"110,000"	at_risk
aua	"Severely Endangered (20 percent certain, based on the evidence available)"	10	severely_endangered
asun1236	"Severely Endangered (20 percent certain, based on the evidence available)"	100	severely_endangered
asr	"Threatened (20 percent certain, based on the evidence available)"	"~7,000"	threatened
asu	"Endangered (20 percent certain, based on the evidence available)"	384	endangered
asn			
atm	"Critically Endangered (20 percent certain, based on the evidence available)"	4	critically_endangered
amz	"Critically Endangered (20 percent certain, based on the evidence available)"	4	critically_endangered
aph	"Threatened (20 percent certain, based on the evidence available)"	"< 3,658"	threatened
atk	"Endangered (80 percent certain, based on the evidence available)"	"1,500"	endangered
	"Severely Endangered (20 percent certain, based on the evidence available)"	85	severely_endangered
	"Endangered (20 percent certain, based on the evidence available)"	120	endangered
ato	"Vulnerable (100 percent certain, based on the evidence available)"	"4,200"	vulnerable
aot	"Threatened (80 percent certain, based on the evidence available)"	NA	threatened
atw	Dormant ()	0	dormant
atj	"Vulnerable (80 percent certain, based on the evidence available)"	"~3,000"	vulnerable
avt	"Threatened (20 percent certain, based on the evidence available)"	"4,200"	threatened
aul	"Endangered (20 percent certain, based on the evidence available)"	750	endangered
aux	Dormant ()	0	dormant
aut	"Threatened (20 percent certain, based on the evidence available)"	"8,000"	threatened
asf	"Threatened (20 percent certain, based on the evidence available)"	"6,500"	threatened
oci-auv	"Threatened (40 percent certain, based on the evidence available)"	"150,000"	threatened
smf	"Endangered (20 percent certain, based on the evidence available)"	270	endangered
auu	"Endangered (20 percent certain, based on the evidence available)"	350	endangered
avv	"Severely Endangered (20 percent certain, based on the evidence available)"	16	severely_endangered
tmb	"Vulnerable (100 percent certain, based on the evidence available)"	700	vulnerable
dix	"Severely Endangered (20 percent certain, based on the evidence available)"	50	severely_endangered
	"Endangered (20 percent certain, based on the evidence available)"	500	endangered
kwi	"Vulnerable (20 percent certain, based on the evidence available)"	"<17,464"	vulnerable
awk	Awakening ()		awakening
agu	"Vulnerable (20 percent certain, based on the evidence available)"	"16,272"	vulnerable
aya	"Severely Endangered (100 percent certain, based on the evidence available)"	"<1,153"	severely_endangered
awh	"Vulnerable (60 percent certain, based on the evidence available)"	~100	vulnerable
bob	"Endangered (20 percent certain, based on the evidence available)"	<200	endangered
awr	"Endangered (80 percent certain, based on the evidence available)"	100	endangered
awet1244	"Endangered (20 percent certain, based on the evidence available)"	225	endangered
1j1	"Threatened (80 percent certain, based on the evidence available)"	300	threatened
auj	"Threatened (20 percent certain, based on the evidence available)"	"< 2,000"	threatened
awn	"At risk (20 percent certain, based on the evidence available)"	"500,000"	at_risk
gwm	Dormant ()	NA	dormant
kmn	"Endangered (20 percent certain, based on the evidence available)"	400	endangered
typ	Dormant ()	0	dormant
aww	"Endangered (20 percent certain, based on the evidence available)"	384	endangered
auw	"Endangered (40 percent certain, based on the evidence available)"	400	endangered
quy	"At risk (20 percent certain, based on the evidence available)"	"850,000"	at_risk
zoq	"Critically Endangered (20 percent certain, based on the evidence available)"	NA	critically_endangered
ayd	"Critically Endangered (20 percent certain, based on the evidence available)"	6	critically_endangered
axe	Dormant ()	0?	dormant
ayq	"Endangered (20 percent certain, based on the evidence available)"	430	endangered
yyz	"Critically Endangered (80 percent certain, based on the evidence available)"		critically_endangered
ayc			
ayoq1235	"Endangered (20 percent certain, based on the evidence available)"	880	endangered
ayo			
ayu	"Severely Endangered (100 percent certain, based on the evidence available)"	NA	severely_endangered
koe-baa	"Threatened (20 percent certain, based on the evidence available)"	"~9,000"	threatened
bvj	"Threatened (20 percent certain, based on the evidence available)"	"<5,000"	threatened
mbf	"Critically Endangered (100 percent certain, based on the evidence available)"	"2,000"	critically_endangered
bbz	"Threatened (20 percent certain, based on the evidence available)"	"3,940"	threatened
bbk	"Endangered (100 percent certain, based on the evidence available)"	"20,000"	endangered
bde	"At risk (20 percent certain, based on the evidence available)"	"~250,000"	at_risk
khd	"Severely Endangered (20 percent certain, based on the evidence available)"	10	severely_endangered
bia	Dormant ()	0	dormant
jbi	"Critically Endangered (20 percent certain, based on the evidence available)"	~2	critically_endangered
bfq	"Threatened (60 percent certain, based on the evidence available)"	"134,000"	threatened
pbp	"Vulnerable (20 percent certain, based on the evidence available)"	">12,000"	vulnerable
bcg	"Threatened (20 percent certain, based on the evidence available)"	"3,000"	threatened
bgo	"Threatened (20 percent certain, based on the evidence available)"	"< 5,000"	threatened
bmd	"Threatened (20 percent certain, based on the evidence available)"	"4,000"	threatened
bgm	"Threatened (20 percent certain, based on the evidence available)"	"< 4,900"	threatened
bsp	"Threatened (20 percent certain, based on the evidence available)"	"4,000"	threatened
bfz-bag	"Threatened (20 percent certain, based on the evidence available)"	"<4,000"	threatened
bqg	"Threatened (20 percent certain, based on the evidence available)"	"7,500"	threatened
bpi	"Endangered (40 percent certain, based on the evidence available)"	58	endangered
